,type,amount
800,purchase,1364
801,purchase,3993
802,purchase,13526
803,purchase,1600
804,purchase,1676
805,purchase,7063
806,purchase,4774
808,purchase,7609
809,purchase,3629
810,purchase,3114
811,purchase,10074
812,purchase,2942
813,purchase,3074
814,purchase,11826
816,purchase,5804
817,purchase,8214
818,purchase,12346
819,purchase,6827
820,purchase,9692
821,purchase,2064
822,purchase,7525
824,sale_partial,1816
825,purchase,6510
826,purchase,5100
827,purchase,405
828,purchase,4866
829,purchase,3826
830,purchase,559
831,purchase,305
832,purchase,117
833,purchase,622
1033,sale_full,45131
1035,purchase,870383
1036,sale_partial,417164
1037,purchase,27518
1038,purchase,54528
1039,purchase,40989
1040,sale_full,3403
1041,sale_partial,42215
1042,sale_full,613466
1043,purchase,568508
1044,sale_partial,794505
1061,sale_full,4125
1062,sale_full,14551
1063,sale_full,8252
1064,sale_full,1481
1065,sale_full,6087
1066,sale_full,4684
1068,sale_full,46443
1069,sale_full,11852
1074,purchase,12262
1075,purchase,13892
1076,purchase,11553
1077,purchase,18929
1078,purchase,11573
1079,purchase,3388
1080,sale_full,43033
1081,sale_full,16642
1082,sale_full,4101
1083,sale_full,14889
1084,sale_full,12022
1085,purchase,12008
1086,purchase,1193
1087,purchase,9569
1088,purchase,37015
1089,sale_full,12458
1090,sale_partial,44863
1091,sale_full,6942
1092,purchase,5096
1093,sale_full,10422
1094,purchase,9882
1095,sale_full,4442
1096,purchase,4771
1097,sale_partial,13670
1098,purchase,1550
1099,purchase,8273
1100,purchase,918
1101,purchase,3046
1102,purchase,7113
1103,purchase,33300
1104,purchase,8257
1105,purchase,123
1106,purchase,6901
1107,purchase,13107
1108,purchase,6499
1109,sale_full,46212
1110,purchase,14896
1111,sale_full,3112
1112,sale_full,2788
1113,sale_full,1922
1114,sale_full,48996
1115,sale_full,42026
1116,sale_full,54606
1117,sale_full,77989
1118,purchase,14652
1119,sale_full,5970
1120,purchase,21156
1121,purchase,13107
1122,purchase,13911
1123,sale_full,678
1124,purchase,366
1125,purchase,867
1126,purchase,431
1127,sale_full,538
1195,sale_full,13015
1196,sale_full,23874
1197,sale_full,44093
1211,sale_full,273891
1212,purchase,82866
1213,sale_full,93410
1214,purchase,62884
1215,sale_full,14891
1216,purchase,10905
1217,purchase,3539
1218,sale_full,4344
1219,sale_full,11036
1220,sale_full,6414
1221,purchase,7689
1222,purchase,1285
1223,purchase,10477
1224,purchase,3339
1225,purchase,14759
1226,purchase,10206
1227,exchange,9138
1228,purchase,11783
1229,purchase,3414
1230,purchase,10502
1231,purchase,7054
1232,sale_full,4185
1233,sale_full,9945
1234,purchase,2984
1235,sale_full,12584
1236,purchase,9992
1237,sale_full,28878
1238,purchase,1765
1239,sale_full,4086
1240,purchase,7567
1241,purchase,8808
1242,purchase,8693
1243,sale_partial,14864
1244,purchase,3163
1245,sale_partial,14179
1246,sale_partial,1598
1247,sale_partial,3246
1248,sale_partial,12000
1249,sale_partial,14517
1250,purchase,14771
1251,sale_partial,7794
1252,sale_partial,5680
1253,sale_partial,11266
1254,sale_partial,7214
1255,purchase,12041
1256,purchase,14046
1257,purchase,9724
1258,purchase,8278
1259,sale_partial,9310
1260,sale_partial,14332
1261,purchase,9735
1262,sale_partial,11578
1263,sale_partial,6934
1264,purchase,9026
1265,purchase,9269
1266,purchase,3056
1267,purchase,4000
1268,sale_partial,9598
1269,purchase,11000
1270,purchase,12712
1271,purchase,9275
1272,purchase,5074
1273,sale_partial,9820
1274,purchase,4732
1275,purchase,5762
1276,sale_partial,6835
1277,purchase,11251
1278,sale_partial,13192
1279,purchase,12068
1280,purchase,9917
1281,sale_full,2119
1282,purchase,10486
1283,sale_full,9064
1284,purchase,1657
1285,purchase,14536
1286,sale_full,5079
1287,purchase,7026
1288,sale_partial,8378
1289,sale_partial,8439
1290,sale_partial,4687
1291,sale_partial,10919
1292,sale_partial,7589
1293,sale_full,3728
1294,sale_partial,2713
1295,sale_partial,2678
1296,purchase,10430
1297,purchase,3328
1298,purchase,12509
1299,purchase,2150
1300,purchase,6462
1301,sale_full,14547
1302,sale_partial,11738
1303,sale_partial,14370
1304,sale_partial,14442
1305,sale_full,6187
1306,purchase,10563
1307,purchase,1263
1308,purchase,2890
1309,purchase,5089
1310,purchase,5965
1311,sale_partial,13300
1312,purchase,6683
1313,sale_partial,5651
1314,sale_full,13563
1315,sale_full,14654
1316,purchase,11129
1317,purchase,3589
1318,purchase,11875
1319,purchase,3144
1320,purchase,13679
1321,purchase,10691
1322,sale_partial,9155
1323,purchase,13323
1324,purchase,6269
1325,purchase,6503
1326,sale_partial,9718
1327,sale_full,13009
1328,purchase,8982
1329,purchase,7848
1330,purchase,9406
1331,sale_partial,6662
1332,sale_partial,4551
1333,purchase,2445
1334,purchase,5143
1335,purchase,9854
1336,sale_partial,2482
1337,sale_partial,7000
1338,purchase,6665
1339,sale_partial,5294
1340,sale_partial,4791
1341,purchase,12125
1342,purchase,2922
1343,sale_full,6992
1344,purchase,12806
1345,purchase,7400
1346,purchase,10967
1347,purchase,4268
1348,purchase,4300
1349,purchase,8007
1350,sale_partial,5753
1351,purchase,3017
1352,sale_partial,10173
1353,sale_partial,1980
1354,purchase,14440
1355,purchase,6188
1356,purchase,6044
1357,purchase,10020
1358,sale_partial,4574
1359,sale_full,8227
1360,sale_partial,3798
1361,purchase,3805
1362,purchase,1943
1363,purchase,2528
1364,sale_partial,10897
1365,purchase,14188
1366,purchase,2050
1367,purchase,10528
1368,sale_partial,2000
1369,purchase,2002
1370,purchase,7392
1371,purchase,10184
1372,sale_full,8755
1373,sale_partial,12585
1374,sale_full,6671
1375,purchase,3969
1376,purchase,4941
1377,sale_partial,4867
1378,sale_partial,11770
1379,sale_partial,13648
1380,sale_partial,10759
1381,sale_full,12328
1382,purchase,12744
1383,purchase,4381
1384,purchase,1258
1385,purchase,8609
1386,sale_partial,14732
1387,sale_partial,1395
1388,purchase,6796
1389,purchase,15993
1390,purchase,1303
1391,sale_partial,9399
1392,purchase,1157
1393,sale_partial,9836
1394,sale_partial,13574
1395,sale_partial,13921
1396,sale_partial,11719
1397,sale_partial,2736
1398,purchase,11657
1399,sale_full,6389
1400,sale_partial,12279
1401,sale_full,49123
1402,purchase,5512
1403,sale_full,310
1404,purchase,989
1405,sale_partial,4919
1406,purchase,9758
1407,purchase,46753
1408,purchase,24293
1409,sale_partial,13747
1465,purchase,9420
1466,sale_partial,5398
1467,sale_partial,5695
1468,purchase,2991
1469,sale_partial,3981
1470,sale_partial,6533
1471,purchase,7804
1472,sale_partial,12216
1473,purchase,2553
1474,purchase,3732
1475,sale_partial,11558
1476,purchase,8214
1477,sale_partial,1609
1478,sale_partial,9529
1479,purchase,13403
1480,purchase,9526
1481,purchase,10874
1482,sale_full,11511
1483,purchase,8196
1484,sale_full,13625
1485,purchase,2390
1486,purchase,10825
1487,sale_partial,13774
1488,purchase,6926
1489,purchase,14249
1490,purchase,10825
1491,purchase,7418
1492,purchase,8404
1493,sale_partial,3232
1494,sale_full,5961
1495,purchase,5795
1496,purchase,2257
1497,purchase,8745
1498,sale_partial,8088
1499,purchase,9359
1500,purchase,2296
1501,sale_partial,6668
1502,sale_partial,6938
1503,purchase,7409
1504,purchase,9562
1505,purchase,14175
1506,purchase,6095
1507,sale_partial,14929
1508,purchase,6889
1509,sale_partial,13841
1510,purchase,11955
1511,purchase,10812
1512,purchase,2479
1513,sale_partial,3819
1514,purchase,14361
1515,sale_full,9563
1516,purchase,8700
1517,sale_full,14471
1518,sale_full,7858
1519,purchase,14885
1520,sale_partial,6027
1521,purchase,11282
1522,sale_full,4408
1523,sale_full,7806
1524,sale_full,62338
1525,sale_full,53308
1526,sale_full,3345
1527,sale_full,27789
1528,sale_partial,36176
1529,sale_full,13531
1530,sale_partial,31143
1531,purchase,33171
1532,purchase,38625
1533,purchase,16098
1534,purchase,48261
1535,purchase,31691
1536,purchase,11986
1537,purchase,17799
1538,purchase,34304
1539,purchase,48774
1540,purchase,46993
1541,purchase,42163
1542,purchase,33664
1543,purchase,20691
1544,purchase,84962
1545,purchase,12518
1546,exchange,1056
1547,purchase,14661
1548,purchase,6923
1549,sale_full,7396
1550,purchase,776
1551,purchase,761
1552,sale_partial,473
1553,sale_full,3482
1554,purchase,288
1555,sale_partial,497
1556,sale_partial,391
1557,sale_partial,205
1558,purchase,722
1559,sale_partial,425
1560,sale_partial,652
1561,sale_partial,750
1562,sale_partial,303
1563,purchase,13324
1564,purchase,11857
1565,purchase,1457
1566,purchase,6336
1567,purchase,8641
1568,purchase,10712
1569,purchase,14745
1581,sale_full,35249
1582,sale_partial,40558
1583,sale_full,37042
1605,purchase,6981
1606,purchase,935
1607,sale_full,8167
1608,purchase,1847
1609,purchase,8318
1610,purchase,47742
1611,purchase,4459
1612,sale_full,40920
1616,purchase,48692
1617,sale_full,78245
1618,purchase,86273
1619,purchase,50304
1620,sale_partial,66097
1621,purchase,22227
1622,purchase,14742
1623,purchase,3759
1624,sale_partial,14158
1625,sale_partial,14751
1626,purchase,4626
1627,purchase,22740
1628,purchase,3981
1629,sale_partial,11055
1630,purchase,11010
1631,purchase,8051
1632,sale_full,11160
1633,purchase,225
1634,purchase,3827
1635,purchase,589
1636,sale_partial,11863
1637,purchase,10187
1638,sale_partial,910
1639,sale_full,13047
1640,sale_partial,546
1641,purchase,982
1642,purchase,104
1643,purchase,414
1644,purchase,374
1645,sale_partial,727
1646,purchase,201
1647,sale_full,5042
1648,sale_full,14475
1649,purchase,8508
1650,sale_partial,21733
1651,sale_full,5600
1652,sale_full,11784
1653,sale_partial,30338
1654,sale_full,6003
1655,purchase,11623
1656,purchase,13708
1657,sale_full,12934
1658,purchase,9120
1659,purchase,8178
1660,sale_partial,190774
1661,purchase,3082
1662,sale_partial,5676
1663,purchase,9904
1664,purchase,8623
1665,purchase,14429
1666,purchase,7820
1667,purchase,1131
1696,sale_partial,117240
1697,sale_partial,191899
1698,purchase,9956
1699,sale_partial,5
1700,sale_partial,166
1701,sale_partial,359
1702,sale_partial,57
1703,sale_partial,555
1704,sale_full,995
1705,sale_partial,37678
1706,sale_partial,5403
1707,sale_partial,12892
1708,sale_partial,2796
1709,sale_partial,5960
1710,sale_full,2932
1711,purchase,13204
1712,sale_full,5366
1713,sale_full,91061
1714,purchase,6779
1715,purchase,8532
1716,purchase,1834
1717,purchase,51966
1718,sale_full,19212
1719,sale_full,6598
1720,purchase,21744
1721,purchase,242893
1722,purchase,90571
1723,purchase,1162
1724,purchase,22990
1725,purchase,82152
1726,purchase,28390
1727,purchase,21086
1728,purchase,41458
1729,purchase,86171
1730,purchase,18213
1731,purchase,41696
1732,purchase,93991
1733,purchase,46029
1734,purchase,13530
1735,purchase,42698
1736,purchase,40931
1737,purchase,27158
1738,purchase,14000
1739,purchase,32912
1740,purchase,47506
1741,purchase,13699
1742,purchase,12222
1743,purchase,129221
1744,purchase,28927
1745,purchase,20698
1746,purchase,16707
1747,purchase,39291
1748,purchase,34850
1749,purchase,27187
1750,purchase,65006
1751,purchase,80924
1752,purchase,16267
1753,purchase,14434
1754,purchase,4502
1755,purchase,177340
1756,purchase,69301
1757,purchase,29164
1758,purchase,23533
1759,purchase,35448
1760,purchase,148878
1761,purchase,104179
1762,purchase,104519
1763,sale_full,108174
1764,sale_partial,170791
1765,sale_partial,790
1766,sale_partial,661
1767,sale_partial,924
1768,sale_partial,351
1769,sale_partial,110
1770,sale_partial,854
1771,sale_partial,400
1772,sale_partial,67
1773,sale_full,863
1774,purchase,524
1775,purchase,96
1776,sale_full,7521
1777,sale_partial,381
1778,sale_partial,264
1779,sale_partial,13631
1780,purchase,7
1781,sale_partial,6122
1782,sale_full,5900
1783,sale_full,33139
1784,sale_partial,5390
1785,sale_partial,10963
1786,sale_partial,5136
1787,sale_partial,3506
1788,sale_partial,3057
1789,sale_partial,4779
1790,sale_partial,13654
1791,sale_partial,5580
1792,sale_full,515
1793,purchase,9126
1794,sale_full,19335
1795,purchase,6105
1809,sale_full,13070
1810,purchase,5120
1811,purchase,6832
1812,purchase,9936
1813,purchase,7421
1865,sale_partial,4038
1866,sale_full,14844
1867,purchase,710
1868,purchase,44481
1869,purchase,5883
1870,purchase,9745
1871,sale_partial,12789
1872,sale_partial,5843
1873,purchase,7309
1874,purchase,7807
1875,sale_partial,5558
1876,purchase,48907
1877,purchase,1678
1878,purchase,14852
1879,sale_partial,10300
1880,sale_partial,13815
1881,purchase,3841
1882,purchase,13346
1883,purchase,12331
1884,sale_partial,4724
1885,sale_full,9063
1886,sale_full,2803
1887,sale_full,12501
1888,sale_full,12590
1889,sale_full,5182
1890,purchase,7226
1891,purchase,60850
1892,sale_full,39608
1893,purchase,9874
1894,purchase,89765
1895,sale_full,1324
1896,sale_full,2167
1897,purchase,6835
1898,sale_full,8952
1899,sale_full,14108
1900,sale_full,6093
1901,sale_full,3051
1902,sale_full,8779
1903,sale_full,13116
1904,sale_full,6147
1905,sale_full,1841
1906,sale_full,1188
1907,sale_full,8221
1908,sale_full,8559
1909,sale_full,11148
1910,sale_full,7742
1911,sale_full,7727
1912,sale_full,2789
1913,sale_full,8620
1914,sale_full,14432
1915,sale_full,13415
1916,sale_full,8473
1917,sale_full,13330
1918,sale_full,6529
1919,purchase,3357
1920,sale_full,8162
1921,sale_full,12325
1922,sale_full,2773
1923,sale_full,12668
1924,sale_full,13547
1925,sale_full,11259
1926,sale_full,7496
1927,sale_full,4730
1928,sale_full,13949
1929,sale_full,4785
1930,sale_full,393353
1931,sale_full,77959
1932,sale_full,85392
1933,sale_full,25911
1934,purchase,10318
1935,purchase,11124
1936,purchase,10375
1937,purchase,8814
2208,sale_partial,12022
2209,purchase,3364
2210,sale_partial,12633
2211,purchase,6128
2212,purchase,4873
2213,sale_partial,5136
2214,sale_partial,7609
2215,purchase,12525
2216,purchase,4050
2217,sale_partial,2333
2218,sale_partial,13432
2219,sale_partial,2460
2220,sale_partial,2806
2221,sale_partial,13292
2222,sale_partial,447
2223,sale_partial,9678
2224,sale_partial,652
2225,sale_partial,57
2226,sale_partial,697
2227,sale_partial,895
2228,sale_partial,842
2229,sale_full,5839
2230,sale_full,14890
2231,sale_full,14516
2232,sale_full,9833
2233,purchase,498971
2234,sale_partial,112095
2235,sale_partial,423434
2236,sale_partial,641377
2237,sale_partial,169232
2238,sale_partial,483999
2254,sale_full,5977
2255,purchase,7064
2256,purchase,408
2257,purchase,444
2258,purchase,3794
2259,purchase,437
2260,purchase,12313
2261,purchase,7456
2262,purchase,16448
2263,purchase,44419
2264,purchase,61657
2265,purchase,49931
2266,sale_full,168832
2267,purchase,51444
2268,purchase,84893
2269,purchase,8922
2270,purchase,14009
2271,sale_partial,3274
2272,purchase,9012
2273,purchase,6514
2274,purchase,14866
2275,purchase,12857
2276,purchase,10434
2277,purchase,8395
2278,purchase,14569
2279,purchase,3440
2280,purchase,10452
2281,purchase,3155
2282,purchase,7631
2283,purchase,9479
2284,purchase,14530
2285,purchase,14449
2286,purchase,11447
2287,purchase,9387
2288,sale_full,15893
2289,purchase,8665
2290,purchase,9558
2291,purchase,3058
2292,purchase,2220
2293,purchase,14059
2294,purchase,6941
2295,purchase,9353
2296,purchase,1077
2297,purchase,10230
2298,purchase,1160
2299,purchase,12219
2300,purchase,6146
2301,purchase,7686
2302,purchase,1129
2303,purchase,8148
2304,sale_full,43937
2305,purchase,14930
2306,purchase,2949
2307,purchase,13068
2308,purchase,34519
2309,purchase,7580
2310,purchase,11983
2311,purchase,1926
2312,purchase,10919
2313,purchase,42944
2314,purchase,10491
2315,purchase,11128
2316,purchase,16894
2317,purchase,43924
2318,purchase,83505
2404,purchase,1672
2405,purchase,9816
2406,purchase,4054
2407,purchase,17705
2408,purchase,18866
2409,sale_partial,10236
2410,sale_partial,12654
2411,sale_partial,8402
2412,sale_partial,3779
2413,sale_full,3734
2414,sale_partial,11586
2415,purchase,10294
2416,purchase,1408
2417,purchase,1838
2418,purchase,1017
2419,sale_partial,5290
2420,sale_partial,1131
2421,purchase,78353
2422,purchase,156398
2423,purchase,479562
2424,sale_full,57370
2425,sale_full,470630
2426,sale_full,55768
2427,purchase,72098
2428,purchase,265614
2429,sale_full,133304
2430,sale_full,152307
2431,sale_full,132921
2432,sale_full,353497
2433,purchase,243825
2434,purchase,110738
2435,purchase,407820
2436,purchase,106357
2437,sale_full,123596
2438,sale_full,188456
2439,purchase,29302
2440,sale_partial,2781
2441,purchase,12083
2442,sale_full,5079
2443,sale_partial,14562
2444,sale_partial,10191
2445,sale_partial,2154
2446,purchase,6693
2447,purchase,6681
2448,purchase,8269
2449,purchase,7243
2450,purchase,4965
2451,sale_full,8589
2452,sale_full,1937
2453,purchase,22124
2454,sale_full,27564
2455,sale_full,41143
2456,sale_full,61178
2457,purchase,10227
2458,purchase,42381
2459,sale_full,33136
2460,purchase,3413
2461,purchase,14870
2462,sale_partial,133
2463,sale_partial,847
2464,sale_partial,4751
2465,sale_partial,12866
2466,sale_partial,6479
2467,sale_partial,3380
2468,sale_partial,827
2469,sale_partial,723
2470,sale_partial,939
2471,sale_partial,50
2472,purchase,10101
2473,purchase,3773
2474,purchase,11891
2475,purchase,2213
2476,purchase,14197
2477,purchase,1198
2478,purchase,12248
2479,sale_partial,5934
2480,sale_partial,9915
2481,purchase,9622
2482,purchase,13308
2483,purchase,12793
2484,purchase,1607
2485,purchase,10509
2486,purchase,5136
2487,sale_partial,10906
2488,purchase,1487
2489,purchase,14718
2490,purchase,6352
2491,purchase,12068
2492,sale_partial,13614
2493,purchase,5875
2494,purchase,5693
2495,purchase,14968
2496,sale_partial,9672
2497,purchase,6937
2498,sale_partial,14964
2499,sale_partial,13726
2500,purchase,14193
2501,sale_partial,2049
2502,sale_partial,7791
2503,sale_full,3079
2504,sale_partial,11945
2505,purchase,8942
2506,purchase,11111
2507,purchase,6772
2508,purchase,9400
2533,sale_full,22984
2534,purchase,39857
2535,sale_full,37786
2536,purchase,9777
2537,sale_full,2279
2538,sale_full,11799
2539,sale_full,2326
2540,purchase,5327
2541,purchase,6799
2542,purchase,6165
2543,purchase,10314
2544,purchase,9086
2545,purchase,12356
2546,sale_full,12638
2547,purchase,24586
2548,purchase,10303
2549,purchase,9850
2550,sale_full,10638
2551,sale_full,1156
2552,purchase,18569
2553,purchase,13462
2554,sale_full,14275
2555,sale_partial,10264
2556,purchase,12424
2557,purchase,367129
2558,sale_partial,10663
2559,sale_partial,95399
2560,sale_partial,31224
2561,sale_partial,33743
2562,purchase,12470
2563,sale_full,1992
2564,purchase,9583
2565,sale_full,498720
2566,purchase,90118
2567,purchase,5012
2568,purchase,11401
2569,sale_full,13377
2570,sale_full,13225
2571,purchase,13753
2572,sale_partial,24101
2573,sale_partial,14823
2574,sale_full,3178
2575,sale_full,7069
2576,purchase,11502
2577,purchase,12019
2578,sale_partial,3088
2579,purchase,7277
2580,purchase,7650
2581,sale_partial,5945
2582,purchase,4163
2583,sale_partial,13904
2584,sale_full,7517
2585,purchase,10389
2586,purchase,9729
2587,sale_partial,18032
2588,purchase,12481
2589,purchase,2909
2590,purchase,5755
2591,sale_full,11747
2592,purchase,1001
2593,purchase,4445
2594,sale_partial,2349
2595,purchase,1220
2596,purchase,5134
2597,sale_partial,9618
2598,sale_partial,8331
2599,purchase,12774
2600,purchase,8370
2601,purchase,8415
2602,sale_partial,198485
2603,sale_partial,1910
2604,sale_partial,11726
2605,sale_full,13605
2606,sale_full,13437
2607,purchase,9908
2608,purchase,3466
2609,purchase,7621
2610,purchase,7720
2611,sale_full,8095
2612,sale_full,2752
2613,purchase,13598
2614,purchase,8234
2615,sale_partial,11559
2616,purchase,9526
2617,purchase,1289
2618,sale_partial,1653
2619,sale_partial,3443
2620,purchase,12033
2621,sale_full,12956
2622,purchase,6223
2623,purchase,49538
2624,purchase,11102
2625,sale_full,2798
2626,purchase,13884
2627,sale_full,11437
2628,purchase,8081
2629,sale_full,11638
2630,purchase,13247
2631,sale_full,8226
2632,sale_full,8982
2633,purchase,5853
2634,sale_full,5659
2635,purchase,13031
2636,purchase,13564
2637,sale_full,11187
2638,sale_partial,8174
2639,purchase,5059
2640,purchase,12642
2641,purchase,10249
2642,purchase,5897
2643,purchase,8715
2644,purchase,12860
2645,sale_full,12609
2646,purchase,13633
2647,purchase,13492
2648,sale_full,12687
2649,sale_partial,12795
2650,purchase,10517
2651,purchase,12408
2652,purchase,14709
2653,sale_partial,12592
2654,sale_full,1738
2655,sale_partial,6481
2656,sale_full,3800
2657,purchase,2256
2658,purchase,4552
2659,sale_full,1812
2660,purchase,5572
2661,purchase,10034
2662,purchase,10562
2663,purchase,7832
2664,sale_full,4756
2665,purchase,7402
2666,sale_full,5670
2667,purchase,5425
2668,purchase,1830
2669,purchase,6134
2670,purchase,9730
2671,purchase,1870
2672,purchase,5884
2673,purchase,14043
2674,purchase,1557
2675,sale_full,4434
2676,purchase,9034
2677,purchase,5193
2678,sale_partial,31791
2679,sale_partial,4761
2680,sale_full,3909
2681,sale_partial,13894
2682,sale_full,4812
2683,sale_full,1970
2684,sale_full,3313
2685,sale_full,11846
2686,purchase,14719
